% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 8 2020, 00:39
% Table:              tce_outflow_concentration0.5 - tce_outflow_concentraion (tce_outflow_concentraion)
% Q_inject_design        t (s)                    tce_outflow_concentraion (mol/(m*s))
0.5                      231                      2.1188322782823638E-7
0.5                      232                      2.1127443419319874E-7
0.5                      233                      2.1067059064133085E-7
0.5                      234                      2.1007169717263298E-7
0.5                      235                      2.0946788456449823E-7
0.5                      236                      2.0885634569401042E-7
0.5                      237                      2.08247860529706E-7
0.5                      238                      2.07642429071585E-7
0.5                      239                      2.0704005131964756E-7
0.5                      240                      2.064407272738935E-7
0.5                      241                      2.0584445693432296E-7
0.5                      242                      2.0525124030093578E-7
0.5                      243                      2.0466107737373214E-7
0.5                      244                      2.0407396815271183E-7
0.5                      245                      2.034899126378751E-7
0.5                      246                      2.0290891082922164E-7
0.5                      247                      2.023309627267518E-7
0.5                      248                      2.0175606833046538E-7
0.5                      249                      2.0118422764036232E-7
0.5                      250                      2.0061544065644292E-7
0.5                      251                      2.0004970737870675E-7
0.5                      252                      1.9948702780715414E-7
0.5                      253                      1.98927401941785E-7
0.5                      254                      1.9837082978259916E-7
0.5                      255                      1.9781731132959698E-7
0.5                      256                      1.9726684658277816E-7
0.5                      257                      1.9671943554214274E-7
0.5                      258                      1.9617507820769085E-7
0.5                      259                      1.9563377457942235E-7
0.5                      260                      1.9509552465733741E-7
0.5                      261                      1.945603284414357E-7
0.5                      262                      1.9402818593171766E-7
0.5                      263                      1.93499097128183E-7
0.5                      264                      1.9297306203083182E-7
0.5                      265                      1.9245008063966407E-7
0.5                      266                      1.9193015295467982E-7
0.5                      267                      1.9141327897587894E-7
0.5                      268                      1.9089945870326145E-7
0.5                      269                      1.9038869213682755E-7
0.5                      270                      1.8988097927657704E-7
0.5                      271                      1.8937632012251E-7
0.5                      272                      1.8887471467462648E-7
0.5                      273                      1.8837616293292632E-7
0.5                      274                      1.8788066489740964E-7
0.5                      275                      1.8738822056807637E-7
0.5                      276                      1.8689882994492653E-7
0.5                      277                      1.8641249302796027E-7
0.5                      278                      1.8592920981717738E-7
0.5                      279                      1.854365517059648E-7
0.5                      280                      1.849427528339066E-7
0.5                      281                      1.844512887403812E-7
0.5                      282                      1.8396215942538859E-7
0.5                      283                      1.8347536488892867E-7
0.5                      284                      1.8299090513100153E-7
