% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 15 2020, 10:14
% Table:              tce_retention_mass_0.02 - tce_outflow_mass_Inte (tce_outflow_Inte)
% Q_inject_design        t (s)                    tce_retention_mass (mol/m)
0.02                     191                      2.2094517034361276E-4
0.02                     192                      2.208224751071371E-4
0.02                     193                      2.2069948533626305E-4
0.02                     194                      2.2057620921705234E-4
0.02                     195                      2.2045260653994004E-4
0.02                     196                      2.2032867730492622E-4
0.02                     197                      2.2020442151201062E-4
0.02                     198                      2.2007983916119404E-4
0.02                     199                      2.1995493025247562E-4
0.02                     200                      2.198296947858555E-4
0.02                     201                      2.1970421490593537E-4
0.02                     202                      2.1957845591900898E-4
0.02                     203                      2.1945239549523988E-4
0.02                     204                      2.193260336346279E-4
0.02                     205                      2.1919937033717323E-4
0.02                     206                      2.190724056028757E-4
0.02                     207                      2.1894513943173554E-4
0.02                     208                      2.1881757182375236E-4
0.02                     209                      2.1868981133518672E-4
0.02                     210                      2.1856177712914298E-4
0.02                     211                      2.1843346686149898E-4
0.02                     212                      2.183048805322554E-4
0.02                     213                      2.1817601814141214E-4
0.02                     214                      2.1804687968896903E-4
0.02                     215                      2.1791746517492569E-4
0.02                     216                      2.177877934691359E-4
0.02                     217                      2.1765794228365936E-4
0.02                     218                      2.1752784023342105E-4
0.02                     219                      2.1739748731842173E-4
0.02                     220                      2.1726688353866064E-4
0.02                     221                      2.171360288941383E-4
0.02                     222                      2.1700492338485444E-4
0.02                     223                      2.16873567010809E-4
0.02                     224                      2.167419999223832E-4
0.02                     225                      2.1661025953805042E-4
0.02                     226                      2.164782928466853E-4
0.02                     227                      2.1634609984828756E-4
0.02                     228                      2.1621368054285708E-4
0.02                     229                      2.1608103493039462E-4
0.02                     230                      2.1594816301089917E-4
0.02                     231                      2.158150647843715E-4
0.02                     232                      2.1568180047861157E-4
0.02                     233                      2.1554836712793323E-4
0.02                     234                      2.1541473094403065E-4
0.02                     235                      2.152808919269036E-4
0.02                     236                      2.1514685007655154E-4
0.02                     237                      2.150126053929756E-4
0.02                     238                      2.1487815787617524E-4
0.02                     239                      2.1474350752614992E-4
0.02                     240                      2.1460873224201743E-4
0.02                     241                      2.144737909790492E-4
0.02                     242                      2.143386688800796E-4
0.02                     243                      2.1420336594510893E-4
0.02                     244                      2.1406788217413688E-4
0.02                     245                      2.1393221756716327E-4
0.02                     246                      2.137963721241883E-4
0.02                     247                      2.1366034853939674E-4
0.02                     248                      2.1352423089480662E-4
0.02                     249                      2.133879526184232E-4
0.02                     250                      2.1325151371024702E-4
0.02                     251                      2.1311491417027806E-4
0.02                     252                      2.1297815399851604E-4
0.02                     253                      2.1284123319496116E-4
0.02                     254                      2.1270415175961331E-4
0.02                     255                      2.1256692763898282E-4
0.02                     256                      2.1242960931749404E-4
0.02                     257                      2.1229214854946894E-4
