% Model:              NP_reactive_flow_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 7 2020, 21:56
% Table:              tce_outflow_concentration4 - tce_outflow_concentraion (tce_outflow_concentraion)
% lowPM_per              t (s)                    tce_outflow_concentraion (mol/(m*s))
1.0E-14                  202                      2.777701468985634E-7
1.0E-14                  203                      2.7667274556976657E-7
1.0E-14                  204                      2.7558849983512917E-7
1.0E-14                  205                      2.7451740969465106E-7
1.0E-14                  206                      2.734594751483323E-7
1.0E-14                  207                      2.724037998425801E-7
1.0E-14                  208                      2.713539179364049E-7
1.0E-14                  209                      2.7031425841317153E-7
1.0E-14                  210                      2.692848212728795E-7
1.0E-14                  211                      2.68265606515529E-7
1.0E-14                  212                      2.672566141411203E-7
1.0E-14                  213                      2.6625784414965306E-7
1.0E-14                  214                      2.652692965411274E-7
1.0E-14                  215                      2.6429097131554346E-7
1.0E-14                  216                      2.63322868472901E-7
1.0E-14                  217                      2.623649880132001E-7
1.0E-14                  218                      2.614173299364409E-7
1.0E-14                  219                      2.604798942426232E-7
1.0E-14                  220                      2.5955268093174693E-7
1.0E-14                  221                      2.5863569000381247E-7
1.0E-14                  222                      2.577289214588195E-7
1.0E-14                  223                      2.5683237529676815E-7
1.0E-14                  224                      2.559460515176584E-7
1.0E-14                  225                      2.550699501214902E-7
1.0E-14                  226                      2.542040711082635E-7
1.0E-14                  227                      2.5333583121896356E-7
1.0E-14                  228                      2.5246596499449234E-7
1.0E-14                  229                      2.516041244535222E-7
1.0E-14                  230                      2.507503095960529E-7
1.0E-14                  231                      2.499045204220849E-7
1.0E-14                  232                      2.4906675693161795E-7
1.0E-14                  233                      2.48237019124652E-7
1.0E-14                  234                      2.4741530700118706E-7
1.0E-14                  235                      2.466016205612232E-7
1.0E-14                  236                      2.4579595980476033E-7
1.0E-14                  237                      2.449983247317987E-7
1.0E-14                  238                      2.44208715342338E-7
1.0E-14                  239                      2.434271316363782E-7
1.0E-14                  240                      2.4265357361391964E-7
1.0E-14                  241                      2.418880412749621E-7
1.0E-14                  242                      2.4113053461950557E-7
1.0E-14                  243                      2.403810536475501E-7
1.0E-14                  244                      2.3963959835909567E-7
1.0E-14                  245                      2.389061687541423E-7
1.0E-14                  246                      2.3818076483269006E-7
1.0E-14                  247                      2.3745316102719842E-7
1.0E-14                  248                      2.3671758766097366E-7
1.0E-14                  249                      2.3598765307502075E-7
1.0E-14                  250                      2.3526335726933978E-7
1.0E-14                  251                      2.3454470024393054E-7
1.0E-14                  252                      2.3383168199879317E-7
1.0E-14                  253                      2.3312430253392748E-7
1.0E-14                  254                      2.3242256184933369E-7
1.0E-14                  255                      2.317264599450118E-7
1.0E-14                  256                      2.310359968209616E-7
1.0E-14                  257                      2.3035117247718346E-7
1.0E-14                  258                      2.2967198691367689E-7
1.0E-14                  259                      2.289984401304422E-7
1.0E-14                  260                      2.2833053212747942E-7
1.0E-14                  261                      2.276682629047883E-7
1.0E-14                  262                      2.2701163246236917E-7
1.0E-14                  263                      2.263606408002218E-7
1.0E-14                  264                      2.2571528791834618E-7
1.0E-14                  265                      2.2507557381674248E-7
1.0E-14                  266                      2.2444149849541056E-7
1.0E-14                  267                      2.2380861492002836E-7
1.0E-14                  268                      2.2316894017928109E-7
1.0E-14                  269                      2.2253334851302341E-7
1.0E-14                  270                      2.219018399212555E-7
1.0E-14                  271                      2.212744144039772E-7
1.0E-14                  272                      2.206510719611886E-7
1.0E-14                  273                      2.200318125928898E-7
1.0E-14                  274                      2.1941663629908057E-7
1.0E-14                  275                      2.1880554307976109E-7
1.0E-14                  276                      2.181985329349313E-7
1.0E-14                  277                      2.1759560586459118E-7
1.0E-14                  278                      2.169967618687407E-7
1.0E-14                  279                      2.1640200094738002E-7
1.0E-14                  280                      2.158113231005089E-7
1.0E-14                  281                      2.1522472832812764E-7
1.0E-14                  282                      2.1464221663023594E-7
1.0E-14                  283                      2.1406378800683397E-7
1.0E-14                  284                      2.1348944245792163E-7
1.0E-14                  285                      2.1291917998349902E-7
1.0E-14                  286                      2.1235300058356607E-7
1.0E-14                  287                      2.117891163323705E-7
1.0E-14                  288                      2.1121791112992186E-7
1.0E-14                  289                      2.1064955744376438E-7
1.0E-14                  290                      2.1008405527389803E-7
1.0E-14                  291                      2.095214046203229E-7
1.0E-14                  292                      2.089616054830388E-7
1.0E-14                  293                      2.0840465786204602E-7
1.0E-14                  294                      2.0785056175734425E-7
1.0E-14                  295                      2.0729931716893367E-7
1.0E-14                  296                      2.0675092409681424E-7
1.0E-14                  297                      2.06205382540986E-7
1.0E-14                  298                      2.0566269250144877E-7
1.0E-14                  299                      2.0512285397820293E-7
1.0E-14                  300                      2.04585866971248E-7
1.0E-14                  301                      2.0405173148058432E-7
1.0E-14                  302                      2.035204475062117E-7
1.0E-14                  303                      2.0299201504813042E-7
1.0E-14                  304                      2.0246643410634014E-7
1.0E-14                  305                      2.0194370468084115E-7
1.0E-14                  306                      2.0142382677163314E-7
1.0E-14                  307                      2.009068003787164E-7
1.0E-14                  308                      2.0039262550209075E-7
1.0E-14                  309                      1.9988130214175628E-7
1.0E-14                  310                      1.9937283029771298E-7
1.0E-14                  311                      1.9886720996996074E-7
1.0E-14                  312                      1.9836444115849972E-7
1.0E-14                  313                      1.9786452386332986E-7
1.0E-14                  314                      1.9736745808445108E-7
1.0E-14                  315                      1.9687324382186352E-7
1.0E-14                  316                      1.963818810755671E-7
1.0E-14                  317                      1.9589336984556176E-7
1.0E-14                  318                      1.9540771013184765E-7
1.0E-14                  319                      1.9492490193442466E-7
1.0E-14                  320                      1.944449452532928E-7
1.0E-14                  321                      1.9396784008845217E-7
1.0E-14                  322                      1.9349358643990262E-7
1.0E-14                  323                      1.9302218430764417E-7
1.0E-14                  324                      1.9255363369167708E-7
1.0E-14                  325                      1.9208793459200085E-7
1.0E-14                  326                      1.9162508700861593E-7
1.0E-14                  327                      1.911650909415221E-7
1.0E-14                  328                      1.9069954042331579E-7
1.0E-14                  329                      1.9023514029639474E-7
1.0E-14                  330                      1.8977312172672119E-7
1.0E-14                  331                      1.8931348471429495E-7
1.0E-14                  332                      1.8885622925911618E-7
1.0E-14                  333                      1.8840135536118468E-7
1.0E-14                  334                      1.8794886302050073E-7
1.0E-14                  335                      1.8749875223706414E-7
1.0E-14                  336                      1.8705102301087495E-7
1.0E-14                  337                      1.8660567534193323E-7
1.0E-14                  338                      1.861627092302389E-7
1.0E-14                  339                      1.857221246757919E-7
1.0E-14                  340                      1.8528392167859225E-7
1.0E-14                  341                      1.8484810023864008E-7
1.0E-14                  342                      1.8441466035593533E-7
1.0E-14                  343                      1.8398360203047802E-7
1.0E-14                  344                      1.8355492526226805E-7
1.0E-14                  345                      1.8312863005130553E-7
1.0E-14                  346                      1.8270471639759033E-7
1.0E-14                  347                      1.8228318430112262E-7
1.0E-14                  348                      1.8186403376190223E-7
1.0E-14                  349                      1.8144726477992936E-7
1.0E-14                  350                      1.8103287735520383E-7
1.0E-14                  351                      1.8062087148772572E-7
1.0E-14                  352                      1.8021124717749498E-7
1.0E-14                  353                      1.7980400442451169E-7
1.0E-14                  354                      1.793991432287757E-7
1.0E-14                  355                      1.7899666359028722E-7
1.0E-14                  356                      1.7859656550904613E-7
1.0E-14                  357                      1.7819884898505238E-7
1.0E-14                  358                      1.7780351401830606E-7
1.0E-14                  359                      1.7741056060880717E-7
1.0E-14                  360                      1.770199887565557E-7
1.0E-14                  361                      1.766317984615516E-7
1.0E-14                  362                      1.7624598972379488E-7
1.0E-14                  363                      1.7586256254328557E-7
1.0E-14                  364                      1.754815169200238E-7
1.0E-14                  365                      1.7510285285400924E-7
1.0E-14                  366                      1.7472657034524221E-7
1.0E-14                  367                      1.7435266939372245E-7
1.0E-14                  368                      1.7397381198018827E-7
1.0E-14                  369                      1.7359187678050238E-7
1.0E-14                  370                      1.73211720416711E-7
1.0E-14                  371                      1.728333428888142E-7
1.0E-14                  372                      1.7245674419681193E-7
1.0E-14                  373                      1.720819243407043E-7
1.0E-14                  374                      1.717088833204912E-7
1.0E-14                  375                      1.7133762113617267E-7
1.0E-14                  376                      1.7096813778774865E-7
1.0E-14                  377                      1.706004332752193E-7
1.0E-14                  378                      1.702345075985845E-7
1.0E-14                  379                      1.698703607578442E-7
1.0E-14                  380                      1.6950799275299848E-7
1.0E-14                  381                      1.6914740358404738E-7
1.0E-14                  382                      1.6878859325099084E-7
1.0E-14                  383                      1.6843156175382886E-7
1.0E-14                  384                      1.6807630909256136E-7
1.0E-14                  385                      1.6772283526718859E-7
1.0E-14                  386                      1.6737114027771026E-7
1.0E-14                  387                      1.670212241241266E-7
1.0E-14                  388                      1.6667308680643735E-7
1.0E-14                  389                      1.6632672832464282E-7
1.0E-14                  390                      1.6598214867874276E-7
1.0E-14                  391                      1.6563934786873735E-7
1.0E-14                  392                      1.6529832589462642E-7
1.0E-14                  393                      1.6495908275641018E-7
1.0E-14                  394                      1.6462161845408835E-7
1.0E-14                  395                      1.6428593298766118E-7
1.0E-14                  396                      1.6395202635712857E-7
1.0E-14                  397                      1.636198985624906E-7
1.0E-14                  398                      1.6328954960374704E-7
1.0E-14                  399                      1.6296097948089811E-7
1.0E-14                  400                      1.6263418819394378E-7
1.0E-14                  401                      1.6230917574288403E-7
1.0E-14                  402                      1.619859421277188E-7
1.0E-14                  403                      1.6166448734844816E-7
