% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable2.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 15 2020, 01:31
% Table:              tce_outflow_concentration0.02 - tce_outflow_concentraion (tce_outflow_concentraion)
% lowPM_per              t (s)                    tce_outflow_concentraion (mol/(m*s))
1.0E-12                  173                      3.319946238534627E-7
1.0E-12                  174                      3.304534753851674E-7
1.0E-12                  175                      3.289283780667162E-7
1.0E-12                  176                      3.2741933189810963E-7
1.0E-12                  177                      3.2592493803437854E-7
1.0E-12                  178                      3.244441486244514E-7
1.0E-12                  179                      3.229784732081404E-7
1.0E-12                  180                      3.2152791178544565E-7
1.0E-12                  181                      3.2009246435636687E-7
1.0E-12                  182                      3.1867213092090436E-7
1.0E-12                  183                      3.172664001608447E-7
1.0E-12                  184                      3.1587116284286503E-7
1.0E-12                  185                      3.144896815505531E-7
1.0E-12                  186                      3.13121956283909E-7
1.0E-12                  187                      3.1176798704293265E-7
1.0E-12                  188                      3.1042777382762396E-7
1.0E-12                  189                      3.091013166379831E-7
1.0E-12                  190                      3.0778861547400994E-7
1.0E-12                  191                      3.064896703357046E-7
1.0E-12                  192                      3.05204481223067E-7
1.0E-12                  193                      3.03933048136097E-7
1.0E-12                  194                      3.02675371074795E-7
1.0E-12                  195                      3.0143145003916054E-7
1.0E-12                  196                      3.001981569206147E-7
1.0E-12                  197                      2.989743196253462E-7
1.0E-12                  198                      2.977632197432362E-7
1.0E-12                  199                      2.9656485727428446E-7
1.0E-12                  200                      2.9537923221849115E-7
1.0E-12                  201                      2.9420634457585615E-7
1.0E-12                  202                      2.9304619434637925E-7
1.0E-12                  203                      2.91898781530061E-7
1.0E-12                  204                      2.907641061269008E-7
1.0E-12                  205                      2.896421681368993E-7
1.0E-12                  206                      2.885329675600557E-7
1.0E-12                  207                      2.874365043963705E-7
1.0E-12                  208                      2.8635277864584366E-7
1.0E-12                  209                      2.8527325541802734E-7
1.0E-12                  210                      2.8420318375039715E-7
1.0E-12                  211                      2.8314430306921797E-7
1.0E-12                  212                      2.820966133744896E-7
1.0E-12                  213                      2.8106011466621205E-7
1.0E-12                  214                      2.8003480694438553E-7
1.0E-12                  215                      2.790206902090098E-7
1.0E-12                  216                      2.78017764460085E-7
1.0E-12                  217                      2.7702602969761113E-7
1.0E-12                  218                      2.7604548592158807E-7
1.0E-12                  219                      2.7507613313201596E-7
1.0E-12                  220                      2.7411797132889476E-7
1.0E-12                  221                      2.7316887962962867E-7
1.0E-12                  222                      2.7221955647282217E-7
1.0E-12                  223                      2.7127948822447403E-7
1.0E-12                  224                      2.703486748845843E-7
1.0E-12                  225                      2.6942711645315285E-7
1.0E-12                  226                      2.685148129301798E-7
1.0E-12                  227                      2.676117643156655E-7
1.0E-12                  228                      2.667179706096093E-7
1.0E-12                  229                      2.658334318120115E-7
1.0E-12                  230                      2.6495814792287227E-7
1.0E-12                  231                      2.640921189421913E-7
1.0E-12                  232                      2.632353448699688E-7
1.0E-12                  233                      2.623878257062047E-7
1.0E-12                  234                      2.615392649660394E-7
1.0E-12                  235                      2.606882606518473E-7
1.0E-12                  236                      2.5984351733569486E-7
1.0E-12                  237                      2.590050350175824E-7
1.0E-12                  238                      2.5817281369750953E-7
1.0E-12                  239                      2.573468533754764E-7
1.0E-12                  240                      2.5652715405148317E-7
1.0E-12                  241                      2.557137157255297E-7
1.0E-12                  242                      2.5490653839761604E-7
1.0E-12                  243                      2.5410562206774203E-7
1.0E-12                  244                      2.5331096673590767E-7
1.0E-12                  245                      2.525225724021133E-7
1.0E-12                  246                      2.5174043906635863E-7
1.0E-12                  247                      2.5096456672864385E-7
1.0E-12                  248                      2.5019495538896867E-7
1.0E-12                  249                      2.494316050473334E-7
1.0E-12                  250                      2.4867451570373777E-7
1.0E-12                  251                      2.47923687358182E-7
1.0E-12                  252                      2.4717912001066595E-7
1.0E-12                  253                      2.464408136611897E-7
1.0E-12                  254                      2.457087683097532E-7
1.0E-12                  255                      2.4498298395635645E-7
1.0E-12                  256                      2.4426346060099957E-7
1.0E-12                  257                      2.4355019824368234E-7
1.0E-12                  258                      2.4284319688440486E-7
1.0E-12                  259                      2.4213866743854946E-7
1.0E-12                  260                      2.4142653113388777E-7
1.0E-12                  261                      2.4071933554031196E-7
