% Model:              NP_reactive_flow_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 7 2020, 21:51
% Table:              tce_retention_mass_1 - tce_outflow_mass_Inte (tce_outflow_Inte)
% lowPM_per              t (s)                    tce_retention_mass (mol/m)
1.0E-11                  210                      1.0733365002200927E-4
1.0E-11                  211                      1.0678908405521056E-4
1.0E-11                  212                      1.0624619389053098E-4
1.0E-11                  213                      1.0570497613779667E-4
1.0E-11                  214                      1.0516547499996016E-4
1.0E-11                  215                      1.0462769047702128E-4
1.0E-11                  216                      1.0409162256898008E-4
1.0E-11                  217                      1.0355727127583648E-4
1.0E-11                  218                      1.0302463465373215E-4
1.0E-11                  219                      1.0249358391730533E-4
1.0E-11                  220                      1.019642149503006E-4
1.0E-11                  221                      1.0143652775271804E-4
1.0E-11                  222                      1.0091052232455762E-4
1.0E-11                  223                      1.003861986658193E-4
1.0E-11                  224                      9.986355677650316E-5
1.0E-11                  225                      9.934254223293115E-5
1.0E-11                  226                      9.882311344363395E-5
1.0E-11                  227                      9.83053308283092E-5
1.0E-11                  228                      9.778919438695741E-5
1.0E-11                  229                      9.727470411957833E-5
1.0E-11                  230                      9.676186002617205E-5
1.0E-11                  231                      9.62506621067385E-5
1.0E-11                  232                      9.574099342587082E-5
1.0E-11                  233                      9.523291690904626E-5
1.0E-11                  234                      9.472644976601116E-5
1.0E-11                  235                      9.422159199676558E-5
1.0E-11                  236                      9.371834360130945E-5
1.0E-11                  237                      9.321670457964285E-5
1.0E-11                  238                      9.271663960004923E-5
1.0E-11                  239                      9.221806616976734E-5
1.0E-11                  240                      9.172106442823481E-5
1.0E-11                  241                      9.122563437545152E-5
1.0E-11                  242                      9.073177601141758E-5
1.0E-11                  243                      9.023948933613303E-5
1.0E-11                  244                      8.974877434959769E-5
1.0E-11                  245                      8.925953656026273E-5
1.0E-11                  246                      8.877179673527981E-5
1.0E-11                  247                      8.828559107590285E-5
1.0E-11                  248                      8.78009195821317E-5
1.0E-11                  249                      8.731778225396633E-5
1.0E-11                  250                      8.683617909140678E-5
1.0E-11                  251                      8.635609672848305E-5
1.0E-11                  252                      8.587742188215708E-5
1.0E-11                  253                      8.540024531738925E-5
1.0E-11                  254                      8.492456703417949E-5
1.0E-11                  255                      8.445038703252787E-5
1.0E-11                  256                      8.397770531243439E-5
1.0E-11                  257                      8.350652187389902E-5
1.0E-11                  258                      8.303677474812959E-5
1.0E-11                  259                      8.25684458432757E-5
1.0E-11                  260                      8.210158234852648E-5
1.0E-11                  261                      8.163618426388177E-5
1.0E-11                  262                      8.11722515893418E-5
1.0E-11                  263                      8.070978432490646E-5
1.0E-11                  264                      8.024878247057582E-5
1.0E-11                  265                      7.978914277553398E-5
1.0E-11                  266                      7.93309347914129E-5
1.0E-11                  267                      7.887416332275874E-5
1.0E-11                  268                      7.841882836957158E-5
1.0E-11                  269                      7.796492993185135E-5
1.0E-11                  270                      7.751246800959808E-5
1.0E-11                  271                      7.706141136017143E-5
1.0E-11                  272                      7.661172084523515E-5
1.0E-11                  273                      7.616344240828452E-5
1.0E-11                  274                      7.571657604931966E-5
1.0E-11                  275                      7.527112176834049E-5
1.0E-11                  276                      7.482707956534709E-5
1.0E-11                  277                      7.438444944033935E-5
1.0E-11                  278                      7.394317378658674E-5
1.0E-11                  279                      7.350327684909523E-5
1.0E-11                  280                      7.306477211617768E-5
1.0E-11                  281                      7.262765958783421E-5
1.0E-11                  282                      7.21919392640648E-5
1.0E-11                  283                      7.175761114486945E-5
1.0E-11                  284                      7.132466444636034E-5
1.0E-11                  285                      7.089305900215875E-5
1.0E-11                  286                      7.046283031460921E-5
1.0E-11                  287                      7.003397838371175E-5
1.0E-11                  288                      6.960650320946638E-5
1.0E-11                  289                      6.918040479187307E-5
1.0E-11                  290                      6.875568313093184E-5
1.0E-11                  291                      6.833231280608406E-5
1.0E-11                  292                      6.791029478327371E-5
1.0E-11                  293                      6.748964222076015E-5
1.0E-11                  294                      6.707035511854364E-5
1.0E-11                  295                      6.665243347662399E-5
1.0E-11                  296                      6.62358772950013E-5
1.0E-11                  297                      6.582068551112069E-5
1.0E-11                  298                      6.540683196117117E-5
1.0E-11                  299                      6.499433649315431E-5
1.0E-11                  300                      6.458319910707022E-5
1.0E-11                  301                      6.41734198029188E-5
1.0E-11                  302                      6.376499858070017E-5
1.0E-11                  303                      6.335793544041415E-5
1.0E-11                  304                      6.29522244384488E-5
1.0E-11                  305                      6.254786193808445E-5
1.0E-11                  306                      6.214485386946589E-5
1.0E-11                  307                      6.174320023259324E-5
1.0E-11                  308                      6.134290102746637E-5
1.0E-11                  309                      6.094395625408536E-5
1.0E-11                  310                      6.054636591245017E-5
1.0E-11                  311                      6.015012968422344E-5
1.0E-11                  312                      5.975524775377409E-5
1.0E-11                  313                      5.936172015825439E-5
1.0E-11                  314                      5.8969546897664305E-5
1.0E-11                  315                      5.8578727972003845E-5
