% Model:              NP_reactive_flow_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 7 2020, 21:51
% Table:              tce_retention_mass_7 - Global Evaluation 14 (TimeInt)
% lowPM_per              t (s)                    tce_retention_mass (mol/m)
1.0E-17                  193                      1.691162640098281E-4
1.0E-17                  194                      1.6882197672801248E-4
1.0E-17                  195                      1.6852902506027688E-4
1.0E-17                  196                      1.6823740900662182E-4
1.0E-17                  197                      1.6794688147659954E-4
1.0E-17                  198                      1.676571370655509E-4
1.0E-17                  199                      1.673685926404225E-4
1.0E-17                  200                      1.6708124820121424E-4
1.0E-17                  201                      1.6679510374792574E-4
1.0E-17                  202                      1.6651015928055758E-4
1.0E-17                  203                      1.6622641479910915E-4
1.0E-17                  204                      1.6594387030358074E-4
1.0E-17                  205                      1.6566252579397272E-4
1.0E-17                  206                      1.6538238127028446E-4
1.0E-17                  207                      1.6510317411179553E-4
1.0E-17                  208                      1.6482427912768905E-4
1.0E-17                  209                      1.6454638586336666E-4
1.0E-17                  210                      1.6426949431882858E-4
1.0E-17                  211                      1.6399360449407486E-4
1.0E-17                  212                      1.6371871638910546E-4
1.0E-17                  213                      1.6344483000391976E-4
1.0E-17                  214                      1.6317194533851874E-4
1.0E-17                  215                      1.629000623929015E-4
1.0E-17                  216                      1.6262918116706875E-4
1.0E-17                  217                      1.6235930166102E-4
1.0E-17                  218                      1.620904238747557E-4
1.0E-17                  219                      1.618225478082755E-4
1.0E-17                  220                      1.6155567346157922E-4
1.0E-17                  221                      1.6128980083466747E-4
1.0E-17                  222                      1.6102492992753968E-4
1.0E-17                  223                      1.607610607401963E-4
1.0E-17                  224                      1.604981932726369E-4
1.0E-17                  225                      1.60236327524862E-4
1.0E-17                  226                      1.5997546349687104E-4
1.0E-17                  227                      1.5971552254212304E-4
1.0E-17                  228                      1.5945548018886363E-4
1.0E-17                  229                      1.591963287271003E-4
1.0E-17                  230                      1.5893806815683376E-4
1.0E-17                  231                      1.586806984780637E-4
1.0E-17                  232                      1.5842421969079046E-4
1.0E-17                  233                      1.5816863179501358E-4
1.0E-17                  234                      1.5791393479073346E-4
1.0E-17                  235                      1.576601286779498E-4
1.0E-17                  236                      1.5740721345666302E-4
1.0E-17                  237                      1.571551891268725E-4
1.0E-17                  238                      1.5690405568857867E-4
1.0E-17                  239                      1.5665381314178132E-4
1.0E-17                  240                      1.5640446148648083E-4
1.0E-17                  241                      1.5615600072267673E-4
1.0E-17                  242                      1.5590843085036936E-4
1.0E-17                  243                      1.5566175186955856E-4
1.0E-17                  244                      1.5541596378024447E-4
1.0E-17                  245                      1.5517106658242684E-4
1.0E-17                  246                      1.5492706027610585E-4
1.0E-17                  247                      1.546839448612815E-4
1.0E-17                  248                      1.5444051275685671E-4
1.0E-17                  249                      1.5419769117426204E-4
1.0E-17                  250                      1.5395563083804735E-4
1.0E-17                  251                      1.5371433174821272E-4
1.0E-17                  252                      1.5347379390475796E-4
1.0E-17                  253                      1.5323401730768285E-4
1.0E-17                  254                      1.529950019569879E-4
1.0E-17                  255                      1.5275674785267292E-4
1.0E-17                  256                      1.5251925499473767E-4
1.0E-17                  257                      1.5228252338318242E-4
1.0E-17                  258                      1.5204655301800728E-4
1.0E-17                  259                      1.518113438992119E-4
1.0E-17                  260                      1.5157689602679638E-4
1.0E-17                  261                      1.5134320940076102E-4
1.0E-17                  262                      1.5111028402110512E-4
1.0E-17                  263                      1.5087811988782952E-4
1.0E-17                  264                      1.50646717000934E-4
1.0E-17                  265                      1.5041607536041792E-4
1.0E-17                  266                      1.5018619496628199E-4
1.0E-17                  267                      1.49957075818526E-4
1.0E-17                  268                      1.4972799230492933E-4
1.0E-17                  269                      1.4949927192349155E-4
1.0E-17                  270                      1.492712132659969E-4
1.0E-17                  271                      1.4904381633244475E-4
1.0E-17                  272                      1.4881708112283578E-4
1.0E-17                  273                      1.4859100763716946E-4
1.0E-17                  274                      1.48365595875446E-4
1.0E-17                  275                      1.4814084583766543E-4
1.0E-17                  276                      1.479167575238276E-4
1.0E-17                  277                      1.476933309339329E-4
1.0E-17                  278                      1.474705660679808E-4
1.0E-17                  279                      1.472484629259714E-4
1.0E-17                  280                      1.4702702150790512E-4
1.0E-17                  281                      1.4680624181378149E-4
1.0E-17                  282                      1.465861238436008E-4
1.0E-17                  283                      1.463666675973631E-4
1.0E-17                  284                      1.461478730750678E-4
1.0E-17                  285                      1.4592974027671584E-4
1.0E-17                  286                      1.4571226920230624E-4
1.0E-17                  287                      1.4549545985183967E-4
1.0E-17                  288                      1.4527867142877658E-4
1.0E-17                  289                      1.4506184333380238E-4
1.0E-17                  290                      1.4484555610189432E-4
1.0E-17                  291                      1.446298097330527E-4
1.0E-17                  292                      1.4441460422727744E-4
1.0E-17                  293                      1.441999395845687E-4
1.0E-17                  294                      1.439858158049262E-4
1.0E-17                  295                      1.4377223288834966E-4
1.0E-17                  296                      1.4355919083483968E-4
1.0E-17                  297                      1.4334668964439628E-4
1.0E-17                  298                      1.4313472931701875E-4
1.0E-17                  299                      1.4292330985270777E-4
1.0E-17                  300                      1.4271243125146303E-4
1.0E-17                  301                      1.4250209351328463E-4
1.0E-17                  302                      1.4229229663817268E-4
1.0E-17                  303                      1.4208304062612683E-4
1.0E-17                  304                      1.4187432547714743E-4
1.0E-17                  305                      1.416661511912344E-4
1.0E-17                  306                      1.414585177683873E-4
1.0E-17                  307                      1.4125142520860715E-4
1.0E-17                  308                      1.410448735118929E-4
1.0E-17                  309                      1.4083886267824493E-4
1.0E-17                  310                      1.4063339270766365E-4
1.0E-17                  311                      1.4042846360014832E-4
1.0E-17                  312                      1.402240753556994E-4
1.0E-17                  313                      1.4002022797431697E-4
1.0E-17                  314                      1.3981692145600063E-4
1.0E-17                  315                      1.396141558007507E-4
1.0E-17                  316                      1.394119310085672E-4
1.0E-17                  317                      1.392102470794499E-4
1.0E-17                  318                      1.3900910401339896E-4
1.0E-17                  319                      1.388085018104143E-4
1.0E-17                  320                      1.38608440470496E-4
1.0E-17                  321                      1.3840891999364409E-4
1.0E-17                  322                      1.3820994037985827E-4
1.0E-17                  323                      1.3801150162913897E-4
1.0E-17                  324                      1.378136037414859E-4
1.0E-17                  325                      1.3761624671689907E-4
1.0E-17                  326                      1.3741943055537868E-4
1.0E-17                  327                      1.3722315525692462E-4
1.0E-17                  328                      1.3702723295465428E-4
1.0E-17                  329                      1.3683066431369097E-4
1.0E-17                  330                      1.3663457051049093E-4
1.0E-17                  331                      1.364389515450542E-4
1.0E-17                  332                      1.3624380741738076E-4
1.0E-17                  333                      1.3604913812747036E-4
1.0E-17                  334                      1.358549436753236E-4
1.0E-17                  335                      1.3566122406093975E-4
1.0E-17                  336                      1.3546797928431944E-4
1.0E-17                  337                      1.3527520934546237E-4
1.0E-17                  338                      1.3508291424436843E-4
1.0E-17                  339                      1.3489109398103782E-4
1.0E-17                  340                      1.3469974855547063E-4
1.0E-17                  341                      1.3450887796766638E-4
1.0E-17                  342                      1.3431848221762583E-4
1.0E-17                  343                      1.341285613053484E-4
1.0E-17                  344                      1.3393911523083428E-4
1.0E-17                  345                      1.337501439940833E-4
1.0E-17                  346                      1.3356164759509566E-4
1.0E-17                  347                      1.3337362603387125E-4
1.0E-17                  348                      1.3318607931041022E-4
1.0E-17                  349                      1.3299900742471229E-4
1.0E-17                  350                      1.328124103767777E-4
1.0E-17                  351                      1.3262628816660644E-4
1.0E-17                  352                      1.3244064079419838E-4
1.0E-17                  353                      1.3225546825955368E-4
1.0E-17                  354                      1.3207077056267216E-4
1.0E-17                  355                      1.318865477035541E-4
1.0E-17                  356                      1.317027996821991E-4
1.0E-17                  357                      1.3151952649860746E-4
1.0E-17                  358                      1.3133672815277914E-4
1.0E-17                  359                      1.311544046447141E-4
1.0E-17                  360                      1.3097255597441232E-4
1.0E-17                  361                      1.307911821418738E-4
1.0E-17                  362                      1.3061028314709848E-4
1.0E-17                  363                      1.3042985899008652E-4
1.0E-17                  364                      1.302499096708379E-4
1.0E-17                  365                      1.300704351893523E-4
1.0E-17                  366                      1.2989143554563014E-4
1.0E-17                  367                      1.2971291073967132E-4
1.0E-17                  368                      1.2953486077147588E-4
1.0E-17                  369                      1.2935601853990733E-4
1.0E-17                  370                      1.2917719886139937E-4
1.0E-17                  371                      1.2899877387980845E-4
1.0E-17                  372                      1.2882074359513447E-4
1.0E-17                  373                      1.2864310800737744E-4
1.0E-17                  374                      1.2846586711653726E-4
1.0E-17                  375                      1.2828902092261443E-4
1.0E-17                  376                      1.281125694256082E-4
1.0E-17                  377                      1.2793651262551936E-4
1.0E-17                  378                      1.2776085052234728E-4
1.0E-17                  379                      1.2758558311609208E-4
1.0E-17                  380                      1.2741071040675401E-4
1.0E-17                  381                      1.2723623239433302E-4
1.0E-17                  382                      1.2706214907882906E-4
1.0E-17                  383                      1.26888460460242E-4
1.0E-17                  384                      1.2671516653857176E-4
1.0E-17                  385                      1.2654226731381865E-4
1.0E-17                  386                      1.2636976278598244E-4
1.0E-17                  387                      1.2619765295506327E-4
1.0E-17                  388                      1.2602593782106125E-4
1.0E-17                  389                      1.258546173839759E-4
1.0E-17                  390                      1.2568369164380787E-4
1.0E-17                  391                      1.2551316060055667E-4
1.0E-17                  392                      1.2534302425422236E-4
1.0E-17                  393                      1.251732826048052E-4
1.0E-17                  394                      1.2500393565230492E-4
1.0E-17                  395                      1.2483498339672174E-4
1.0E-17                  396                      1.2466642583805544E-4
1.0E-17                  397                      1.2449826297630605E-4
1.0E-17                  398                      1.2433049481147394E-4
1.0E-17                  399                      1.2416312134355862E-4
1.0E-17                  400                      1.2399614257256034E-4
1.0E-17                  401                      1.238295584984789E-4
1.0E-17                  402                      1.2366336912131463E-4
1.0E-17                  403                      1.2349757444106725E-4
1.0E-17                  404                      1.2333217445773692E-4
1.0E-17                  405                      1.2316716917132366E-4
1.0E-17                  406                      1.2300255858182726E-4
1.0E-17                  407                      1.2283834268924778E-4
1.0E-17                  408                      1.2267452149358535E-4
1.0E-17                  409                      1.225103195921364E-4
1.0E-17                  410                      1.2234526666299314E-4
1.0E-17                  411                      1.2218051256419635E-4
1.0E-17                  412                      1.2201605729574582E-4
1.0E-17                  413                      1.2185190085764183E-4
1.0E-17                  414                      1.2168804324988434E-4
1.0E-17                  415                      1.2152448447247316E-4
1.0E-17                  416                      1.2136122452540824E-4
1.0E-17                  417                      1.2119826340869003E-4
1.0E-17                  418                      1.2103560112231799E-4
1.0E-17                  419                      1.208732376662924E-4
1.0E-17                  420                      1.207111730406134E-4
1.0E-17                  421                      1.2054940724528052E-4
1.0E-17                  422                      1.2038794028029437E-4
1.0E-17                  423                      1.2022677214565438E-4
1.0E-17                  424                      1.200659028413609E-4
1.0E-17                  425                      1.199053323674138E-4
1.0E-17                  426                      1.1974506072381308E-4
1.0E-17                  427                      1.1958508791055882E-4
1.0E-17                  428                      1.1942541392765103E-4
1.0E-17                  429                      1.1926603877508952E-4
1.0E-17                  430                      1.1910696245287447E-4
1.0E-17                  431                      1.1894818496100596E-4
1.0E-17                  432                      1.1878970629948358E-4
1.0E-17                  433                      1.1863152646830779E-4
1.0E-17                  434                      1.184736454674784E-4
1.0E-17                  435                      1.183160632969954E-4
1.0E-17                  436                      1.181587799568589E-4
1.0E-17                  437                      1.1800179544706874E-4
1.0E-17                  438                      1.1784510976762497E-4
1.0E-17                  439                      1.1768872291852761E-4
1.0E-17                  440                      1.1753263489977666E-4
1.0E-17                  441                      1.1737684571137223E-4
1.0E-17                  442                      1.1722135535331403E-4
1.0E-17                  443                      1.1706616382560236E-4
1.0E-17                  444                      1.169112711282371E-4
1.0E-17                  445                      1.1675667726121817E-4
1.0E-17                  446                      1.1660238222454573E-4
1.0E-17                  447                      1.1644838601821976E-4
1.0E-17                  448                      1.1629468864224002E-4
1.0E-17                  449                      1.1614129009660684E-4
1.0E-17                  450                      1.1598819038132002E-4
1.0E-17                  451                      1.1583538949637954E-4
1.0E-17                  452                      1.1568288744178566E-4
1.0E-17                  453                      1.1553068421753793E-4
1.0E-17                  454                      1.1537877982363682E-4
1.0E-17                  455                      1.1522717426008207E-4
1.0E-17                  456                      1.1507586752687363E-4
1.0E-17                  457                      1.1492485962401174E-4
1.0E-17                  458                      1.1477415055149617E-4
1.0E-17                  459                      1.1462374030932704E-4
