% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 8 2020, 00:39
% Table:              TCE_reacted 0.5 - tce_reacted_mass (tce_reacted_mass)
% Q_inject_design        t (s)                    The reacted TCE (mol/m)
0.5                      207                      3.7904412124971365E-6
0.5                      208                      3.7957298208328097E-6
0.5                      209                      3.8009984197914472E-6
0.5                      210                      3.806247009372263E-6
0.5                      211                      3.8114755895758673E-6
0.5                      212                      3.816684160402178E-6
0.5                      213                      3.821884216133502E-6
0.5                      214                      3.827091914508491E-6
0.5                      215                      3.83228293986571E-6
0.5                      216                      3.837457292205239E-6
0.5                      217                      3.842614971527581E-6
0.5                      218                      3.847755977832138E-6
0.5                      219                      3.852880311119278E-6
0.5                      220                      3.857987971388457E-6
0.5                      221                      3.8630789586404344E-6
0.5                      222                      3.868153272874858E-6
0.5                      223                      3.873210914091607E-6
0.5                      224                      3.878251882290774E-6
0.5                      225                      3.883276177472591E-6
0.5                      226                      3.888283799636502E-6
0.5                      227                      3.893274748783008E-6
0.5                      228                      3.898249024912178E-6
0.5                      229                      3.903206628023522E-6
0.5                      230                      3.908147558117259E-6
0.5                      231                      3.913071815193537E-6
0.5                      232                      3.917979399252505E-6
0.5                      233                      3.92287031029358E-6
0.5                      234                      3.927744548317007E-6
0.5                      235                      3.932620571918088E-6
0.5                      236                      3.937503631312083E-6
0.5                      237                      3.942373564518102E-6
0.5                      238                      3.947230371536756E-6
0.5                      239                      3.952074052367759E-6
0.5                      240                      3.9569046070112745E-6
0.5                      241                      3.9617220354669906E-6
0.5                      242                      3.966526337735287E-6
0.5                      243                      3.971317513816041E-6
0.5                      244                      3.976095563709077E-6
0.5                      245                      3.980860487414611E-6
0.5                      246                      3.9856122849325906E-6
0.5                      247                      3.9903509562629465E-6
0.5                      248                      3.995076501405693E-6
0.5                      249                      3.999788920361087E-6
0.5                      250                      4.004488213128491E-6
0.5                      251                      4.009174379708625E-6
0.5                      252                      4.013847420101095E-6
0.5                      253                      4.018507334306023E-6
0.5                      254                      4.023154122323328E-6
0.5                      255                      4.0277877841530635E-6
0.5                      256                      4.0324083197950945E-6
0.5                      257                      4.037015729249787E-6
0.5                      258                      4.0416100125167476E-6
0.5                      259                      4.046191169596085E-6
0.5                      260                      4.050759200487975E-6
0.5                      261                      4.055314105192107E-6
0.5                      262                      4.059855883708818E-6
0.5                      263                      4.0643845360380015E-6
0.5                      264                      4.068900062179412E-6
0.5                      265                      4.073402462133444E-6
0.5                      266                      4.077891735899757E-6
0.5                      267                      4.0823678834782845E-6
0.5                      268                      4.086830904869582E-6
0.5                      269                      4.091280800073188E-6
0.5                      270                      4.095717569089157E-6
0.5                      271                      4.100141211917639E-6
0.5                      272                      4.104551728558456E-6
0.5                      273                      4.1089491190117184E-6
0.5                      274                      4.113333383277344E-6
0.5                      275                      4.1177045213554E-6
0.5                      276                      4.122062533245955E-6
0.5                      277                      4.1264074189488594E-6
0.5                      278                      4.130739178464168E-6
0.5                      279                      4.13508440573258E-6
0.5                      280                      4.139425481866586E-6
0.5                      281                      4.1437549701286405E-6
0.5                      282                      4.148072870518581E-6
0.5                      283                      4.152379183036515E-6
0.5                      284                      4.156673907682593E-6
0.5                      285                      4.160957044456543E-6
0.5                      286                      4.165228593358433E-6
0.5                      287                      4.169488554388494E-6
0.5                      288                      4.173736927546345E-6
0.5                      289                      4.177973712832312E-6
0.5                      290                      4.18219891024645E-6
0.5                      291                      4.186412519788447E-6
0.5                      292                      4.190614541458397E-6
0.5                      293                      4.194804975256382E-6
0.5                      294                      4.198983821182374E-6
0.5                      295                      4.203151079236144E-6
0.5                      296                      4.2073067494183015E-6
0.5                      297                      4.211450831728087E-6
0.5                      298                      4.215583326166178E-6
0.5                      299                      4.2197042327319116E-6
0.5                      300                      4.223813551425937E-6
0.5                      301                      4.227911282247835E-6
0.5                      302                      4.231997425197849E-6
0.5                      303                      4.236071980275681E-6
0.5                      304                      4.240134947481792E-6
0.5                      305                      4.24418632681568E-6
0.5                      306                      4.248226118277535E-6
0.5                      307                      4.25225432186752E-6
0.5                      308                      4.256270937585445E-6
0.5                      309                      4.260275965431418E-6
0.5                      310                      4.264269405405318E-6
0.5                      311                      4.268251257507266E-6
0.5                      312                      4.272221521737046E-6
0.5                      313                      4.27618019809505E-6
0.5                      314                      4.280127286581008E-6
0.5                      315                      4.284062787194824E-6
0.5                      316                      4.28798669993673E-6
0.5                      317                      4.291899024806711E-6
0.5                      318                      4.295799761804713E-6
0.5                      319                      4.299688910930303E-6
0.5                      320                      4.303566472184389E-6
0.5                      321                      4.307432445566252E-6
0.5                      322                      4.311291708187695E-6
0.5                      323                      4.315190919892094E-6
0.5                      324                      4.3190810584957146E-6
0.5                      325                      4.322962123998571E-6
0.5                      326                      4.326834116400677E-6
0.5                      327                      4.330697035701884E-6
0.5                      328                      4.334550881902462E-6
0.5                      329                      4.3383956550021E-6
0.5                      330                      4.342231355000946E-6
0.5                      331                      4.346057981899015E-6
0.5                      332                      4.349875535696455E-6
0.5                      333                      4.353684016392942E-6
0.5                      334                      4.357483423988515E-6
0.5                      335                      4.361273758483718E-6
0.5                      336                      4.365055019877695E-6
0.5                      337                      4.368827208171112E-6
0.5                      338                      4.372590323363656E-6
0.5                      339                      4.376344365455504E-6
0.5                      340                      4.380089334446574E-6
0.5                      341                      4.383825230336717E-6
0.5                      342                      4.387552053126029E-6
0.5                      343                      4.391269802814753E-6
0.5                      344                      4.394978479402699E-6
0.5                      345                      4.398678082889705E-6
0.5                      346                      4.402368613275797E-6
0.5                      347                      4.4060500705614105E-6
0.5                      348                      4.409722454746083E-6
0.5                      349                      4.413385765829938E-6
0.5                      350                      4.41704000381311E-6
0.5                      351                      4.420685168695206E-6
0.5                      352                      4.4243212604768226E-6
0.5                      353                      4.427948279157634E-6
0.5                      354                      4.431566224737398E-6
0.5                      355                      4.435175097216627E-6
0.5                      356                      4.438774896595052E-6
0.5                      357                      4.442365622872509E-6
0.5                      358                      4.445947276049379E-6
0.5                      359                      4.449519856125281E-6
0.5                      360                      4.453083363100595E-6
0.5                      361                      4.456637796974888E-6
0.5                      362                      4.460183157748511E-6
0.5                      363                      4.463719445421357E-6
0.5                      364                      4.467246659993344E-6
0.5                      365                      4.470764801464634E-6
0.5                      366                      4.474287267738024E-6
0.5                      367                      4.477821851942286E-6
0.5                      368                      4.48134888383152E-6
0.5                      369                      4.484868363405318E-6
0.5                      370                      4.488380290663951E-6
0.5                      371                      4.491884665607421E-6
0.5                      372                      4.495381488236051E-6
0.5                      373                      4.498870758549138E-6
0.5                      374                      4.502352476547114E-6
0.5                      375                      4.505826642230035E-6
0.5                      376                      4.509293255597791E-6
0.5                      377                      4.5127523166503015E-6
0.5                      378                      4.5162038253878105E-6
0.5                      379                      4.519647781809857E-6
0.5                      380                      4.523084185916875E-6
0.5                      381                      4.526513037708945E-6
0.5                      382                      4.52993433718558E-6
0.5                      383                      4.533348084347105E-6
0.5                      384                      4.536754279193519E-6
0.5                      385                      4.540152921724715E-6
0.5                      386                      4.543544011940666E-6
0.5                      387                      4.546927549841669E-6
0.5                      388                      4.550303535427318E-6
0.5                      389                      4.553671968697667E-6
0.5                      390                      4.5570328496532045E-6
0.5                      391                      4.560386178293306E-6
0.5                      392                      4.563731954618325E-6
0.5                      393                      4.567070178628234E-6
