% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable2.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 15 2020, 01:37
% Table:              Table 61 - np_retention_mass_lowPM (np_retention_mass_lowPM)
% lowPM_per              t (s)                    np_retention_mass_lowPM (mol/m)
1.0E-14                  264                      1.6841150068398392E-4
1.0E-14                  265                      1.68724676804838E-4
1.0E-14                  266                      1.6903732354753984E-4
1.0E-14                  267                      1.6934974267385387E-4
1.0E-14                  268                      1.6966247587903854E-4
1.0E-14                  269                      1.699747852713733E-4
1.0E-14                  270                      1.7028667085085806E-4
1.0E-14                  271                      1.7059813261749296E-4
1.0E-14                  272                      1.7090917057127787E-4
1.0E-14                  273                      1.7121978471221303E-4
1.0E-14                  274                      1.71529975040298E-4
1.0E-14                  275                      1.7183974155553325E-4
1.0E-14                  276                      1.7214908425791856E-4
1.0E-14                  277                      1.7245800314745374E-4
1.0E-14                  278                      1.7276649822413914E-4
1.0E-14                  279                      1.730745694879745E-4
1.0E-14                  280                      1.7338221693895993E-4
1.0E-14                  281                      1.7368944057709557E-4
1.0E-14                  282                      1.7399624040238115E-4
1.0E-14                  283                      1.743026164148169E-4
1.0E-14                  284                      1.746085686144026E-4
1.0E-14                  285                      1.7491409700113848E-4
1.0E-14                  286                      1.7521920157502442E-4
1.0E-14                  287                      1.7552398598821354E-4
1.0E-14                  288                      1.7582900771881836E-4
1.0E-14                  289                      1.7613367703420214E-4
1.0E-14                  290                      1.7643799393436493E-4
1.0E-14                  291                      1.7674195841930665E-4
1.0E-14                  292                      1.770455704890274E-4
1.0E-14                  293                      1.773488301435272E-4
1.0E-14                  294                      1.7765173738280607E-4
1.0E-14                  295                      1.7795429220686387E-4
1.0E-14                  296                      1.7825649461570073E-4
1.0E-14                  297                      1.7855834460931655E-4
1.0E-14                  298                      1.7885984218771135E-4
1.0E-14                  299                      1.7916098735088525E-4
1.0E-14                  300                      1.7946178009883802E-4
1.0E-14                  301                      1.7976222043156997E-4
1.0E-14                  302                      1.800623083490808E-4
1.0E-14                  303                      1.8036204385137088E-4
