% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable2.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 15 2020, 01:33
% Table:              TCE_reacted 0.02 - tce_reacted_mass (tce_reacted_mass)
% lowPM_per              t (s)                    The reacted TCE (mol/m)
1.0E-12                  173                      2.983440882238305E-6
1.0E-12                  174                      2.9908589645646477E-6
1.0E-12                  175                      2.998241818715755E-6
1.0E-12                  176                      3.0055894446916675E-6
1.0E-12                  177                      3.012905177572075E-6
1.0E-12                  178                      3.020191515608624E-6
1.0E-12                  179                      3.0274448598067034E-6
1.0E-12                  180                      3.0346652101660563E-6
1.0E-12                  181                      3.041852566687333E-6
1.0E-12                  182                      3.0490069293701407E-6
1.0E-12                  183                      3.0561296413658586E-6
1.0E-12                  184                      3.0632314969744026E-6
1.0E-12                  185                      3.070303925909338E-6
1.0E-12                  186                      3.0773469281713693E-6
1.0E-12                  187                      3.084360503759765E-6
1.0E-12                  188                      3.0913446526745518E-6
1.0E-12                  189                      3.0982993749161365E-6
1.0E-12                  190                      3.1052246704841804E-6
1.0E-12                  191                      3.112120539379293E-6
1.0E-12                  192                      3.118986981600296E-6
1.0E-12                  193                      3.1258239971484217E-6
1.0E-12                  194                      3.132631586022722E-6
1.0E-12                  195                      3.1394097482239015E-6
1.0E-12                  196                      3.146165876353438E-6
1.0E-12                  197                      3.1529027403992923E-6
1.0E-12                  198                      3.1596125850403937E-6
1.0E-12                  199                      3.1662954102761596E-6
1.0E-12                  200                      3.1729512161070506E-6
1.0E-12                  201                      3.1795800025328092E-6
1.0E-12                  202                      3.186181769553368E-6
1.0E-12                  203                      3.192756517168889E-6
1.0E-12                  204                      3.199304245379481E-6
1.0E-12                  205                      3.2058249541849814E-6
1.0E-12                  206                      3.2123186435854443E-6
1.0E-12                  207                      3.2187853135807207E-6
1.0E-12                  208                      3.225224964171041E-6
1.0E-12                  209                      3.2316550212005386E-6
1.0E-12                  210                      3.2380647676122652E-6
1.0E-12                  211                      3.2444506519866594E-6
1.0E-12                  212                      3.250812674324304E-6
1.0E-12                  213                      3.25715083462509E-6
1.0E-12                  214                      3.263465132888747E-6
1.0E-12                  215                      3.269755569115451E-6
1.0E-12                  216                      3.2760221433053376E-6
1.0E-12                  217                      3.2822648554583795E-6
1.0E-12                  218                      3.2884837055741973E-6
1.0E-12                  219                      3.294678693653306E-6
1.0E-12                  220                      3.3008498196954346E-6
1.0E-12                  221                      3.307000100634901E-6
1.0E-12                  222                      3.3131427678502766E-6
1.0E-12                  223                      3.3192643270805143E-6
1.0E-12                  224                      3.3253647783251805E-6
1.0E-12                  225                      3.3314441215848308E-6
1.0E-12                  226                      3.33750235685914E-6
1.0E-12                  227                      3.343539484148067E-6
1.0E-12                  228                      3.349555503451721E-6
1.0E-12                  229                      3.3555504147701287E-6
1.0E-12                  230                      3.3615242181032494E-6
1.0E-12                  231                      3.3674769134511373E-6
1.0E-12                  232                      3.373408500813806E-6
1.0E-12                  233                      3.379318980190917E-6
1.0E-12                  234                      3.385220251606242E-6
1.0E-12                  235                      3.391113935399508E-6
1.0E-12                  236                      3.396989971379076E-6
1.0E-12                  237                      3.4028483595450408E-6
1.0E-12                  238                      3.4086890998970227E-6
1.0E-12                  239                      3.414512192435388E-6
1.0E-12                  240                      3.4203176371600143E-6
1.0E-12                  241                      3.4261054340708477E-6
1.0E-12                  242                      3.4318755831680507E-6
1.0E-12                  243                      3.4376280844514878E-6
1.0E-12                  244                      3.4433629379212674E-6
1.0E-12                  245                      3.4490801435770507E-6
1.0E-12                  246                      3.454779701419285E-6
1.0E-12                  247                      3.460461611447767E-6
1.0E-12                  248                      3.4661258736625914E-6
1.0E-12                  249                      3.4717724880635958E-6
1.0E-12                  250                      3.4774014546511053E-6
1.0E-12                  251                      3.4830127734244287E-6
1.0E-12                  252                      3.48860644438442E-6
1.0E-12                  253                      3.4941824675302117E-6
1.0E-12                  254                      3.4997408428627796E-6
1.0E-12                  255                      3.5052815703815273E-6
1.0E-12                  256                      3.5108046500862246E-6
1.0E-12                  257                      3.5163100819774135E-6
1.0E-12                  258                      3.5217978660549584E-6
1.0E-12                  259                      3.5272732438943708E-6
1.0E-12                  260                      3.532750157821487E-6
1.0E-12                  261                      3.5382112503348713E-6
1.0E-12                  262                      3.5436565214346183E-6
1.0E-12                  263                      3.5490859711202944E-6
1.0E-12                  264                      3.554499599392767E-6
1.0E-12                  265                      3.559897406251304E-6
1.0E-12                  266                      3.5652793916962313E-6
1.0E-12                  267                      3.5706455557273315E-6
1.0E-12                  268                      3.575995898344659E-6
1.0E-12                  269                      3.5813304195486337E-6
1.0E-12                  270                      3.586649119338673E-6
1.0E-12                  271                      3.591951997715292E-6
1.0E-12                  272                      3.5972390546777996E-6
1.0E-12                  273                      3.6025102902269816E-6
1.0E-12                  274                      3.6077657043624857E-6
1.0E-12                  275                      3.613005297084041E-6
1.0E-12                  276                      3.6182290683920673E-6
1.0E-12                  277                      3.6234370182863345E-6
1.0E-12                  278                      3.6286291467672085E-6
1.0E-12                  279                      3.6338054538339167E-6
1.0E-12                  280                      3.638965939487164E-6
1.0E-12                  281                      3.6441106037266518E-6
1.0E-12                  282                      3.649239446552543E-6
1.0E-12                  283                      3.6543524679646483E-6
1.0E-12                  284                      3.6594496679632924E-6
1.0E-12                  285                      3.664557923396255E-6
1.0E-12                  286                      3.669654586379507E-6
1.0E-12                  287                      3.6747376377613706E-6
1.0E-12                  288                      3.6798070775415607E-6
1.0E-12                  289                      3.6848629057207823E-6
1.0E-12                  290                      3.6899051222984256E-6
1.0E-12                  291                      3.694933727274626E-6
1.0E-12                  292                      3.6999487206492343E-6
1.0E-12                  293                      3.7049501024226167E-6
1.0E-12                  294                      3.7099378725945697E-6
1.0E-12                  295                      3.71491203116508E-6
1.0E-12                  296                      3.7198725781340387E-6
1.0E-12                  297                      3.724819513501758E-6
1.0E-12                  298                      3.7297528372679125E-6
1.0E-12                  299                      3.7346725494327054E-6
1.0E-12                  300                      3.7395786499961367E-6
1.0E-12                  301                      3.7444711389579354E-6
1.0E-12                  302                      3.7493500163185894E-6
1.0E-12                  303                      3.754215282077638E-6
1.0E-12                  304                      3.7590669362353926E-6
1.0E-12                  305                      3.7639049787915825E-6
1.0E-12                  306                      3.7687294097464515E-6
1.0E-12                  307                      3.7735402290999453E-6
1.0E-12                  308                      3.778337436851942E-6
1.0E-12                  309                      3.7831210330025095E-6
1.0E-12                  310                      3.787905578303666E-6
1.0E-12                  311                      3.7926865084040863E-6
1.0E-12                  312                      3.7974556091338938E-6
1.0E-12                  313                      3.8022128804930205E-6
1.0E-12                  314                      3.806958322481575E-6
1.0E-12                  315                      3.811691935099801E-6
1.0E-12                  316                      3.816413718347333E-6
1.0E-12                  317                      3.82112367222432E-6
1.0E-12                  318                      3.8258217967306664E-6
1.0E-12                  319                      3.8305080918664815E-6
1.0E-12                  320                      3.835182557631711E-6
1.0E-12                  321                      3.839845194026517E-6
1.0E-12                  322                      3.8444960010506555E-6
1.0E-12                  323                      3.849134978704236E-6
1.0E-12                  324                      3.8537621269872435E-6
1.0E-12                  325                      3.8583774458996926E-6
1.0E-12                  326                      3.86298093544161E-6
