% Model:              NP_reactive_flow_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 7 2020, 21:50
% Table:              TCE_reacted lg = 0 - tce_reacted_mass (tce_reacted_mass)
% lowPM_per              t (s)                    The reacted TCE (mol/m)
1.0E-10                  353                      6.754427583399985E-6
1.0E-10                  354                      6.754626298387484E-6
1.0E-10                  355                      6.754822454439145E-6
1.0E-10                  356                      6.755016051554941E-6
1.0E-10                  357                      6.755207089734872E-6
1.0E-10                  358                      6.7553955689789115E-6
1.0E-10                  359                      6.755581489287194E-6
1.0E-10                  360                      6.755764850659558E-6
1.0E-10                  361                      6.755945653096084E-6
1.0E-10                  362                      6.756123896596746E-6
1.0E-10                  363                      6.756299581161569E-6
1.0E-10                  364                      6.756472706790555E-6
1.0E-10                  365                      6.756643273483649E-6
1.0E-10                  366                      6.756811281240905E-6
1.0E-10                  367                      6.756977997455794E-6
1.0E-10                  368                      6.757144844891374E-6
1.0E-10                  369                      6.757309618008291E-6
1.0E-10                  370                      6.757472316806573E-6
1.0E-10                  371                      6.757632941286137E-6
1.0E-10                  372                      6.757791491447039E-6
1.0E-10                  373                      6.757947967289278E-6
1.0E-10                  374                      6.758102368812854E-6
1.0E-10                  375                      6.758254696017686E-6
1.0E-10                  376                      6.75840494890391E-6
1.0E-10                  377                      6.758553127471416E-6
1.0E-10                  378                      6.758699231720287E-6
1.0E-10                  379                      6.758843261650468E-6
1.0E-10                  380                      6.758985217261986E-6
1.0E-10                  381                      6.759125098554787E-6
1.0E-10                  382                      6.759265076750705E-6
1.0E-10                  383                      6.759404187379618E-6
1.0E-10                  384                      6.759541619616406E-6
1.0E-10                  385                      6.759677373461095E-6
1.0E-10                  386                      6.75981144891355E-6
1.0E-10                  387                      6.7599438459738244E-6
1.0E-10                  388                      6.760074564641973E-6
1.0E-10                  389                      6.760203604917942E-6
1.0E-10                  390                      6.760330966801758E-6
1.0E-10                  391                      6.7604566502934215E-6
1.0E-10                  392                      6.760580655392932E-6
1.0E-10                  393                      6.760702982100262E-6
1.0E-10                  394                      6.760823630415439E-6
1.0E-10                  395                      6.7609426003384094E-6
1.0E-10                  396                      6.76106007343677E-6
1.0E-10                  397                      6.761178121721188E-6
1.0E-10                  398                      6.76129479996524E-6
1.0E-10                  399                      6.761410108169035E-6
1.0E-10                  400                      6.7615240463324636E-6
1.0E-10                  401                      6.761636614455608E-6
1.0E-10                  402                      6.76174781253844E-6
1.0E-10                  403                      6.761857640580907E-6
